region_id,sciname,class,common,status,year
1,Brotula multibarbata,actinopterygii,Pacific Bearded Brotula,0,2020
1,Carcharhinus albimarginatus,chondrichthyes,Silvertip Shark,0.4,2020
1,Caesio caerulaurea,actinopterygii,Blue and Gold Fusilier,0,2020
1,Cantherhines dumerilii,actinopterygii,Whitespotted Filefish,0,2020
1,Carangoides ferdau,actinopterygii,Blue Trevally,0,2020
1,Carcharhinus galapagensis,chondrichthyes,Galapagos Shark,0,2020
1,Caranx ignobilis,actinopterygii,Giant Trevally,0,2020
1,Caranx lugubris,actinopterygii,Black Jack,0,2020
1,Caracanthus maculatus,actinopterygii,Spotted Coral Croucher,0,2020
1,Caranx melampygus,actinopterygii,Bluefin Trevally,0,2020
1,Carcharhinus melanopterus,chondrichthyes,Blacktip Reef Shark,0.2,2020
1,Carangoides orthogrammus,actinopterygii,Island Trevally,0,2020
1,Cantherhines pardalis,actinopterygii,Honeycomb Filefish,0,2020
1,Caranx sexfasciatus,actinopterygii,Bigeye Trevally,0,2020
1,Caesio teres,actinopterygii,Yellow and Blueback Fusilier,0,2020
1,Chanos chanos,actinopterygii,Milkfish,0,2020
1,Chaetodon declivis,actinopterygii,Marquesas Butterflyfish,0,2020
1,Chaetodon flavocoronatus,actinopterygii,Yellow-crowned Butterflyfish,0,2020
1,Chlorurus sordidus,actinopterygii,Daisy Parrotfish,0,2020
1,Cheilinus undulatus,actinopterygii,Humphead Wrasse,0.6,2020
1,Cirrhitops hubbardi,actinopterygii,NA,0,2020
